Age,Gender,Breastfeeding/Pregnant,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Vitamin C,Calcium,Copper,Iron heme,Iron (non-heme),Magnesium,Phosporus,Potassium,Selenium,Zinc
49,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
50,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
51,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
52,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
53,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
54,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
55,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
56,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
57,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
58,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
59,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
60,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
61,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
62,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
63,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
64,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
65,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
66,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
67,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
68,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
69,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
70,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
71,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
72,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
73,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
74,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
75,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
76,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
77,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
78,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
79,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
80,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
81,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
82,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
83,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
84,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
85,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
86,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
87,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
88,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
89,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
90,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
91,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
92,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
93,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
94,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
95,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
96,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
97,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
98,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
99,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
100+,Female,No,700,1.1,1.1,1.5,2.4,75,1200,900,8,16,320,700,2600,55,900
15,Female,Breastfeeding,1200,1.4,1.6,2,2.8,115,1.6,1300,10,20,360,1250,2500,70,13
16,Female,Breastfeeding,1200,1.4,1.6,2,2.8,115,1.6,1300,10,20,360,1250,2500,70,13
17,Female,Breastfeeding,1200,1.4,1.6,2,2.8,115,1.6,1300,10,20,360,1250,2500,70,13
18,Female,Breastfeeding,1200,1.4,1.6,2,2.8,115,1.6,1300,10,20,360,1250,2500,70,13
19,Female,Breastfeeding,1200,1.4,1.6,2,2.8,115,1.6,1300,10,20,360,1250,2500,70,13
20,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
21,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
22,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
23,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
24,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
25,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
26,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
27,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
28,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
29,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
30,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
31,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
32,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
33,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
34,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
35,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
36,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
37,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
38,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
39,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
40,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
41,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
42,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
43,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
44,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
45,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
